entry_time,exit_time,seg,tf,dir,level,entry,sl,tp,exit,reason,pnl,pnl_net,mtr,sld,wait_h,trend_h4
2025-12-29 07:00:06.371284154,2025-12-29 13:47:24.176992316,GCG6,M15,-1,4490.3,4489.4,4515.725,4439.45,4439.45,tp,49.95,49.8,16.95,25.425,4.2518,1.0
2025-12-29 11:40:11.724788496,2025-12-29 12:38:24.224960721,GCG6,M15,-1,4463.3,4463.0,4479.425,4431.05,4479.7,sl,-16.7,-16.85,10.75,16.125,2.4199,-1.0
2025-12-30 07:49:29.902522982,2025-12-30 08:02:01.090910307,GCG6,M15,1,4394.7,4395.0,4383.3,4418.4,4383.2,sl,-11.8,-11.95,7.8,11.7,0.075,-1.0
2025-12-30 10:30:09.993771596,2025-12-30 14:41:19.763799937,GCG6,M15,1,4398.5,4398.9,4382.375,4431.65,4380.4,sl,-18.5,-18.65,10.95,16.425,0.5028,-1.0
2025-12-30 19:47:32.919127498,2025-12-31 05:40:31.289407220,GCG6,M15,-1,4370.5,4370.5,4389.55,4332.4,4332.4,tp,38.1,37.95,12.7,19.05,2.7925,-1.0
2025-12-30 19:48:50.261205862,2025-12-30 23:35:15.780752345,GCG6,M15,-1,4366.6,4366.6,4379.575,4340.65,4340.65,tp,25.95,25.8,8.65,12.975,9.064,-1.0
2025-12-30 23:35:15.782788338,2025-12-30 23:37:02.097538681,GCG6,M15,-1,4338.8,4338.0,4352.6,4311.2,4352.6,sl,-14.6,-14.75,9.2,13.8,22.0877,-1.0
2025-12-31 12:24:53.619493420,2025-12-31 13:22:57.988387857,GCG6,M15,-1,4315.5,4315.5,4334.625,4277.25,4335.1,sl,-19.6,-19.75,12.75,19.125,1.4149,-1.0
2025-12-31 13:46:02.285308013,2025-12-31 16:45:33.325346919,GCG6,M15,1,4349.0,4349.3,4332.35,4383.2,4332.3,sl,-17.0,-17.15,11.3,16.95,2.0173,-1.0
2025-12-31 13:46:02.285308013,2025-12-31 16:39:27.265369646,GCG6,M15,1,4349.0,4349.3,4335.125,4377.65,4335.1,sl,-14.2,-14.35,9.45,14.175,1.7673,-1.0
2026-01-02 00:56:57.495284852,2026-01-02 01:08:59.890978348,GCG6,H1,1,4367.8,4368.0,4358.8,4386.4,4358.8,sl,-9.2,-9.35,18.4,9.2,0.9493,-1.0
2026-01-02 00:56:57.499920995,2026-01-02 08:46:14.149013903,GCG6,M15,1,4367.8,4368.4,4350.425,4403.75,4403.75,tp,35.35,35.2,11.85,17.775,31.9493,-1.0
2026-01-05 14:55:00.089421812,2026-01-06 01:03:01.280496318,GCG6,M15,1,4451.7,4452.3,4440.3,4475.4,4440.2,sl,-12.1,-12.25,7.8,11.7,1.9167,1.0
2026-01-05 23:00:49.605442140,2026-01-05 23:32:19.988535946,GCG6,M15,1,4461.0,4461.4,4452.375,4479.15,4452.0,sl,-9.4,-9.55,5.95,8.925,1.7638,1.0
2026-01-05 23:09:49.166966431,2026-01-05 23:32:31.588607394,GCG6,M15,1,4467.6,4468.0,4450.5,4502.7,4450.3,sl,-17.7,-17.85,11.6,17.4,5.9137,1.0
2026-01-06 00:40:27.460848480,2026-01-06 01:15:14.185842359,GCG6,M15,-1,4443.2,4443.1,4453.1,4423.4,4453.2,sl,-10.1,-10.25,6.6,9.9,5.4243,1.0
2026-01-06 02:30:01.232158157,2026-01-06 02:40:04.927557767,GCG6,M15,1,4471.6,4471.9,4461.775,4492.15,4461.6,sl,-10.3,-10.45,6.75,10.125,1.2503,1.0
2026-01-06 08:27:19.129533963,2026-01-06 08:41:18.239628653,GCG6,M15,1,4485.2,4485.6,4475.7,4505.4,4475.5,sl,-10.1,-10.25,6.6,9.9,0.7053,1.0
2026-01-06 09:47:10.746293165,2026-01-06 11:33:51.848706741,GCG6,M15,-1,4460.2,4459.9,4469.725,4441.15,4469.9,sl,-10.0,-10.15,6.35,9.525,1.7863,1.0
2026-01-06 14:33:03.395906052,2026-01-07 01:57:10.599406216,GCG6,M15,1,4486.0,4486.3,4472.55,4513.5,4472.5,sl,-13.8,-13.95,9.1,13.65,4.0509,1.0
2026-01-06 17:55:37.828859830,2026-01-06 19:17:42.792648062,GCG6,M15,1,4501.8,4502.4,4488.2,4529.6,4488.2,sl,-14.2,-14.35,9.2,13.8,0.6772,1.0
2026-01-06 20:57:30.997153185,2026-01-07 00:53:34.435046785,GCG6,M15,1,4504.6,4504.9,4495.05,4524.3,4495.0,sl,-9.9,-10.05,6.5,9.75,0.4586,1.0
2026-01-07 01:06:49.906174195,2026-01-07 05:33:00.114038735,GCG6,M15,-1,4488.0,4488.0,4497.6,4468.8,4468.8,tp,19.2,19.05,6.4,9.6,3.6139,1.0
2026-01-07 05:33:00.081561917,2026-01-07 05:48:12.084717270,GCG6,M15,-1,4470.1,4469.4,4478.275,4453.75,4453.75,tp,15.65,15.5,5.45,8.175,1.3,1.0
2026-01-07 05:34:09.190681193,2026-01-07 08:39:02.426787125,GCG6,M15,-1,4464.1,4464.1,4481.65,4429.0,4481.7,sl,-17.6,-17.75,11.7,17.55,13.5692,1.0
2026-01-07 06:46:06.670595682,2026-01-07 07:19:30.809244273,GCG6,M15,-1,4452.5,4452.5,4461.875,4433.75,4462.0,sl,-9.5,-9.65,6.25,9.375,18.5185,1.0
2026-01-07 06:46:06.670595682,2026-01-07 06:52:30.793629072,GCG6,H1,-1,4452.5,4452.5,4460.95,4435.6,4461.0,sl,-8.5,-8.65,16.9,8.45,11.7685,1.0
2026-01-07 12:18:53.520056699,2026-01-07 12:30:49.936275816,GCG6,M15,-1,4451.5,4451.5,4461.775,4430.95,4461.8,sl,-10.3,-10.45,6.85,10.275,3.3149,1.0
2026-01-07 13:09:53.837566202,2026-01-07 13:11:07.737825037,GCG6,H1,-1,4437.9,4437.7,4445.2,4423.3,4445.2,sl,-7.5,-7.65,14.6,7.3,27.165,1.0
2026-01-07 13:09:53.837566202,2026-01-07 13:27:28.230478305,GCG6,M15,-1,4437.9,4437.7,4455.3,4403.1,4455.3,sl,-17.6,-17.75,11.6,17.4,33.915,1.0
2026-01-08 01:00:33.293391357,2026-01-08 01:05:40.217979776,GCG6,M15,-1,4455.0,4455.0,4463.85,4437.3,4463.9,sl,-8.9,-9.05,5.9,8.85,3.5092,1.0
